Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2023-07-11,42.468284748823784,42.74520227192143,42.05441100506613,42.39230728149414,298244000,0.0,0.0,NVDA
2023-07-12,43.02011944041349,43.92184986270228,42.764195552852364,43.888858795166016,481277000,0.0,0.0,NVDA
2023-07-13,44.50467858058804,46.14118589662746,44.47868538538072,45.96324157714844,478204000,0.0,0.0,NVDA
2023-07-14,46.569055875329795,48.07360643149831,45.04651296496498,45.45539093017578,772075000,0.0,0.0,NVDA
2023-07-17,46.2751483675716,46.48208333648882,45.24845529491012,46.44709396362305,510488000,0.0,0.0,NVDA
2023-07-18,46.68702397304958,47.88166603949017,45.720314313568934,47.47978591918945,569164000,0.0,0.0,NVDA
2023-07-19,47.44979336973207,47.80368749893828,46.728009362936724,47.06290817260742,427502000,0.0,0.0,NVDA
2023-07-20,46.49307841934342,47.07290663084455,45.04851127522588,45.50637435913086,537865000,0.0,0.0,NVDA
2023-07-21,45.774291764941616,45.852271344797494,44.08679733484349,44.29573440551758,963769000,0.0,0.0,NVDA
2023-07-24,44.71760811355624,45.09549711982211,44.02681689655362,44.5986442565918,382516000,0.0,0.0,NVDA
2023-07-25,44.927550902603436,46.169175934028694,44.90955473413191,45.66532897949219,348081000,0.0,0.0,NVDA
2023-07-26,46.007226403398825,46.03921832111606,44.61664387148225,45.43839645385742,364237000,0.0,0.0,NVDA
2023-07-27,46.505079031131245,47.380816317043035,45.73630816685934,45.88626480102539,455976000,0.0,0.0,NVDA
2023-07-28,46.65403150088766,47.01292521124307,46.367118651046106,46.73600769042969,331194000,0.0,0.0,NVDA
2023-07-31,46.740005638261565,47.11589253215221,46.492078779652935,46.71501159667969,251055000,0.0,0.0,NVDA
2023-08-01,46.44609332180353,46.8859640677805,46.0132242637307,46.493080139160156,237858000,0.0,0.0,NVDA
2023-08-02,45.81728537620708,45.826281553952484,43.37401655131389,44.25575256347656,530142000,0.0,0.0,NVDA
2023-08-03,43.78689227494137,45.10449866230768,43.78689227494137,44.501678466796875,324176000,0.0,0.0,NVDA
2023-08-04,44.97153498419395,45.62833600185848,44.37971313681524,44.6666259765625,362666000,0.0,0.0,NVDA
2023-08-07,45.09749987001745,45.52637233911639,44.549663532222596,45.40340805053711,322154000,0.0,0.0,NVDA
2023-08-08,44.83957737942901,45.22846090148069,44.042815014721,44.650634765625,353843000,0.0,0.0,NVDA
2023-08-09,44.260746156274735,44.29873679566252,42.12138731177839,42.541263580322266,586449000,0.0,0.0,NVDA
2023-08-10,42.14738041003293,43.560958632395554,41.8224769271407,42.37531280517578,492705000,0.0,0.0,NVDA
2023-08-11,41.738505212576875,42.00542741630113,40.62683847341104,40.8427734375,533085000,0.0,0.0,NVDA
2023-08-14,40.47388206146573,43.78688931335617,40.29893520400989,43.73990249633789,690286000,0.0,0.0,NVDA
